# Server version 0.08 running on fbrizu:8123
# Game ID: 45
# Board class: halma.CCBoard
# Timeout: 1000
# Date: Tue Apr 01 20:38:00 EDT 2014
# Player 1: Player-0, 'omni', running on fbrizu
# Player 2: Player-1, 'random', running on fbrizu
# Player 3: Player-2, 'random', running on fbrizu
# Player 4: Player-3, 'random', running on fbrizu
START Player-0 omni
START Player-1 random
START Player-2 random
START Player-3 random
0 (1,3) (1,4)
1 (14,2) (13,3)
2 (1,12) (1,11)
3 (15,12) (14,11)
0 (1,2) (3,2)
0 null null
1 (13,1) (14,2)
2 (2,14) (4,14)
2 (4,14) (2,14)
2 null null
3 (13,14) (15,12)
3 null null
0 (0,2) (1,2)
1 (14,2) (12,2)
1 (12,2) (14,4)
1 (14,4) (14,2)
1 (14,2) (14,4)
1 null null
2 (3,14) (4,15)
3 (14,13) (13,12)
0 (1,2) (2,3)
1 (13,2) (11,0)
1 null null
2 (4,15) (5,15)
3 (14,12) (12,12)
3 (12,12) (14,12)
3 (14,12) (14,10)
3 (14,10) (14,12)
3 null null
0 (3,2) (4,3)
1 (14,4) (12,2)
1 (12,2) (14,4)
1 (14,4) (14,2)
1 null null
2 (2,13) (3,13)
3 (13,15) (11,15)
3 null null
0 (2,2) (1,2)
1 (13,0) (11,2)
1 null null
2 (0,13) (2,13)
2 null null
3 (12,15) (11,14)
0 (2,0) (4,0)
0 null null
1 (15,0) (13,0)
1 null null
2 (1,11) (2,10)
3 (11,14) (12,13)
0 (3,1) (2,2)
1 (15,3) (15,4)
2 (2,10) (2,9)
3 (14,14) (12,12)
3 null null
0 (1,1) (0,2)
1 (14,0) (13,1)
2 (3,15) (3,14)
3 (13,13) (13,11)
3 (13,11) (11,13)
3 (11,13) (13,15)
3 (13,15) (11,13)
3 null null
0 (2,1) (3,1)
1 (13,1) (13,2)
2 (0,12) (1,12)
3 (12,14) (13,14)
0 (4,3) (3,3)
1 (15,1) (15,0)
2 (1,14) (0,13)
3 (15,13) (13,11)
3 (13,11) (15,13)
3 null null
0 (3,0) (4,1)
1 (14,2) (14,0)
1 (14,0) (14,2)
1 (14,2) (12,4)
1 (12,4) (14,2)
1 (14,2) (12,4)
1 (12,4) (14,2)
1 (14,2) (12,4)
1 null null
2 (0,14) (2,12)
2 (2,12) (0,14)
2 (0,14) (2,12)
2 (2,12) (0,14)
2 (0,14) (2,12)
2 (2,12) (0,12)
2 null null
3 (12,12) (11,12)
0 (0,2) (1,3)
1 (14,1) (13,1)
2 (2,13) (4,15)
2 null null
3 (14,12) (13,13)
0 (4,1) (5,1)
1 (11,2) (11,1)
2 (3,13) (4,12)
3 (11,15) (10,15)
0 (5,1) (4,1)
1 (11,1) (11,2)
2 (4,12) (5,11)
3 (12,13) (10,11)
3 (10,11) (12,13)
3 null null
0 (4,1) (5,1)
1 (13,1) (14,0)
2 (1,13) (2,13)
3 (10,15) (11,14)
0 (5,1) (4,1)
1 (12,4) (13,5)
2 (2,9) (1,10)
3 (13,13) (14,13)
0 (2,3) (3,4)
1 (11,2) (10,3)
2 (2,14) (3,13)
3 (13,12) (12,12)
0 (4,0) (3,0)
1 (14,3) (14,2)
2 (5,11) (6,10)
3 (11,12) (11,11)
0 (3,3) (2,4)
1 (15,0) (14,1)
2 (3,14) (2,14)
3 (11,13) (10,12)
0 (2,2) (3,3)
1 (13,5) (12,6)
2 (1,10) (2,10)
3 (13,14) (14,14)
0 (0,1) (0,2)
1 (12,6) (12,5)
2 (2,10) (2,9)
3 (12,13) (10,15)
3 null null
0 (1,4) (0,5)
1 (10,3) (11,4)
2 (2,9) (1,10)
3 (14,11) (14,10)
0 (3,1) (3,2)
1 (14,0) (13,1)
2 (6,10) (5,11)
3 (10,15) (11,15)
0 (0,5) (1,6)
1 (13,2) (14,3)
2 (2,13) (3,12)
3 (11,14) (10,13)
0 (1,3) (0,4)
1 (14,2) (14,4)
1 (14,4) (14,2)
1 null null
2 (4,15) (3,15)
3 (14,14) (14,12)
3 (14,12) (14,14)
3 null null
0 (4,1) (2,3)
0 (2,3) (4,5)
0 null null
1 (13,0) (13,2)
1 (13,2) (15,0)
1 null null
2 (0,12) (1,11)
3 (14,15) (13,14)
0 (2,4) (2,5)
1 (12,5) (11,5)
2 (1,10) (0,10)
3 (12,12) (13,12)
0 (2,5) (2,6)
1 (12,1) (12,2)
2 (3,13) (3,11)
2 (3,11) (3,13)
2 null null
3 (13,12) (12,12)
0 (0,0) (2,0)
0 null null
1 (11,5) (12,6)
2 (0,10) (1,10)
3 (11,11) (10,10)
0 (3,3) (2,3)
1 (12,2) (11,2)
2 (1,12) (1,13)
3 (10,12) (11,11)
0 (3,0) (4,1)
1 (14,3) (12,3)
1 (12,3) (10,1)
1 (10,1) (12,3)
1 null null
2 (5,15) (6,15)
